Asset Manager,Company,Year,Ticker,Meeting Date,Meeting Type,Security ID,# Management Proposals,Proposal,Bucket,Mgt Rec,Vote,TICKER,NAME,CNTRY_OF_DOMICILE
RBC Global Asset management,Valeant Pharmaceuticals International Inc.,2015,VRX,5/19/2015,Annual,91911K102,1a,Elect Director Ronald H. Farmer,DIRECTOR,For,For,VRX CN,VALEANT PHARMACEUTICALS INTE,US
RBC Global Asset management,Valeant Pharmaceuticals International Inc.,2015,VRX,5/19/2015,Annual,91911K102,1b,Elect Director Colleen A. Goggins,DIRECTOR,For,For,VRX CN,VALEANT PHARMACEUTICALS INTE,US
RBC Global Asset management,Valeant Pharmaceuticals International Inc.,2015,VRX,5/19/2015,Annual,91911K102,1c,Elect Director Robert A. Ingram,DIRECTOR,For,For,VRX CN,VALEANT PHARMACEUTICALS INTE,US
RBC Global Asset management,Valeant Pharmaceuticals International Inc.,2015,VRX,5/19/2015,Annual,91911K102,1d,Elect Director Anders O. Lonner,DIRECTOR,For,For,VRX CN,VALEANT PHARMACEUTICALS INTE,US
RBC Global Asset management,Valeant Pharmaceuticals International Inc.,2015,VRX,5/19/2015,Annual,91911K102,1e,Elect Director Theo Melas-Kyriazi,DIRECTOR,For,For,VRX CN,VALEANT PHARMACEUTICALS INTE,US
RBC Global Asset management,no,2015,VRX,5/19/2015,Annual,91911K102,1f,Elect Director J. Michael Pearson,DIRECTOR,For,For,VRX CN,VALEANT PHARMACEUTICALS INTE,US
RBC Global Asset management,Valeant Pharmaceuticals International Inc.,2015,VRX,5/19/2015,Annual,91911K102,1g,Elect Director Robert N. Power,DIRECTOR,For,For,VRX CN,VALEANT PHARMACEUTICALS INTE,US
RBC Global Asset management,Valeant Pharmaceuticals International Inc.,2015,VRX,5/19/2015,Annual,91911K102,1h,Elect Director Norma A. Provencio,DIRECTOR,For,For,VRX CN,VALEANT PHARMACEUTICALS INTE,US
RBC Global Asset management,Valeant Pharmaceuticals International Inc.,2015,VRX,5/19/2015,Annual,91911K102,1i,Elect Director Howard B. Schiller,DIRECTOR,For,For,VRX CN,VALEANT PHARMACEUTICALS INTE,US
RBC Global Asset management,Valeant Pharmaceuticals International Inc.,2015,VRX,5/19/2015,Annual,91911K102,1j,Elect Director Katharine B. Stevenson,DIRECTOR,For,For,VRX CN,VALEANT PHARMACEUTICALS INTE,US
RBC Global Asset management,Valeant Pharmaceuticals International Inc.,2015,VRX,5/19/2015,Annual,91911K102,1k,Elect Director Jeffrey W. Ubben,DIRECTOR,For,For,VRX CN,VALEANT PHARMACEUTICALS INTE,US
RBC Global Asset management,Valeant Pharmaceuticals International Inc.,2015,VRX,5/19/2015,Annual,91911K102,2,Advisory Vote to Ratify Named Executive Officers' Compensation,SAY_ON_PAY,For,For,VRX CN,VALEANT PHARMACEUTICALS INTE,US
RBC Global Asset management,Valeant Pharmaceuticals International Inc.,2015,VRX,5/19/2015,Annual,91911K102,3,Ratify PricewaterhouseCoopers LLP as Auditors,AUDITOR,For,For,VRX CN,VALEANT PHARMACEUTICALS INTE,US
RBC Global Asset management,Canadian Pacific Railway Limited,2015,CP,5/14/2015,Annual/Special,13645T100,1,Ratify Deloitte LLP as Auditors,AUDITOR,For,For,CP CN,CANADIAN PACIFIC RAILWAY LTD,CA
RBC Global Asset management,Canadian Pacific Railway Limited,2015,CP,5/14/2015,Annual/Special,13645T100,2,Advisory Vote on Executive Compensation Approach,SAY_ON_PAY,For,For,CP CN,CANADIAN PACIFIC RAILWAY LTD,CA
RBC Global Asset management,Canadian Pacific Railway Limited,2015,CP,5/14/2015,Annual/Special,13645T100,3.1,Elect Director William A. Ackman,DIRECTOR,For,For,CP CN,CANADIAN PACIFIC RAILWAY LTD,CA
RBC Global Asset management,Canadian Pacific Railway Limited,2015,CP,5/14/2015,Annual/Special,13645T100,3.2,Elect Director John Baird,DIRECTOR,For,For,CP CN,CANADIAN PACIFIC RAILWAY LTD,CA
RBC Global Asset management,Canadian Pacific Railway Limited,2015,CP,5/14/2015,Annual/Special,13645T100,3.3,Elect Director Gary F. Colter,DIRECTOR,For,For,CP CN,CANADIAN PACIFIC RAILWAY LTD,CA
RBC Global Asset management,Canadian Pacific Railway Limited,2015,CP,5/14/2015,Annual/Special,13645T100,3.4,Elect Director Isabelle Courville,DIRECTOR,For,For,CP CN,CANADIAN PACIFIC RAILWAY LTD,CA
RBC Global Asset management,Canadian Pacific Railway Limited,2015,CP,5/14/2015,Annual/Special,13645T100,3.5,Elect Director Keith E. Creel,DIRECTOR,For,For,CP CN,CANADIAN PACIFIC RAILWAY LTD,CA
RBC Global Asset management,Canadian Pacific Railway Limited,2015,CP,5/14/2015,Annual/Special,13645T100,3.6,Elect Director E. Hunter Harrison,DIRECTOR,For,For,CP CN,CANADIAN PACIFIC RAILWAY LTD,CA
RBC Global Asset management,Canadian Pacific Railway Limited,2015,CP,5/14/2015,Annual/Special,13645T100,3.7,Elect Director Paul C. Hilal,DIRECTOR,For,For,CP CN,CANADIAN PACIFIC RAILWAY LTD,CA
RBC Global Asset management,Canadian Pacific Railway Limited,2015,CP,5/14/2015,Annual/Special,13645T100,3.8,Elect Director Krystyna T. Hoeg,DIRECTOR,For,For,CP CN,CANADIAN PACIFIC RAILWAY LTD,CA
RBC Global Asset management,Canadian Pacific Railway Limited,2015,CP,5/14/2015,Annual/Special,13645T100,3.9,Elect Director Rebecca MacDonald,DIRECTOR,For,For,CP CN,CANADIAN PACIFIC RAILWAY LTD,CA
RBC Global Asset management,Canadian Pacific Railway Limited,2015,CP,5/14/2015,Annual/Special,13645T100,3.1,Elect Director Anthony R. Melman,DIRECTOR,For,For,CP CN,CANADIAN PACIFIC RAILWAY LTD,CA
RBC Global Asset management,Canadian Pacific Railway Limited,2015,CP,5/14/2015,Annual/Special,13645T100,3.11,Elect Director Linda J. Morgan,DIRECTOR,For,For,CP CN,CANADIAN PACIFIC RAILWAY LTD,CA
RBC Global Asset management,Canadian Pacific Railway Limited,2015,CP,5/14/2015,Annual/Special,13645T100,3.12,Elect Director Andrew F. Reardon,DIRECTOR,For,For,CP CN,CANADIAN PACIFIC RAILWAY LTD,CA
RBC Global Asset management,Canadian Pacific Railway Limited,2015,CP,5/14/2015,Annual/Special,13645T100,3.13,Elect Director Stephen C. Tobias,DIRECTOR,For,For,CP CN,CANADIAN PACIFIC RAILWAY LTD,CA
RBC Global Asset management,Canadian Pacific Railway Limited,2015,CP,5/14/2015,Annual/Special,13645T100,4,Approve Advance Notice Policy,?,For,For,CP CN,CANADIAN PACIFIC RAILWAY LTD,CA
RBC Global Asset management,Canadian Pacific Railway Limited,2015,CP,5/14/2015,Annual/Special,13645T100,5,Allow Meetings to be held at Such Place Within Canada or the United States of America,?,For,For,CP CN,CANADIAN PACIFIC RAILWAY LTD,CA
RBC Global Asset management,Canadian Tire Corporation Limited,2015,CTC.A,5/14/2015,Annual,136681202,1.1,Elect Director Pierre Boivin,DIRECTOR,For,For,CTC/A CN,CANADIAN TIRE CORP-CLASS A,CA
RBC Global Asset management,Canadian Tire Corporation Limited,2015,CTC.A,5/14/2015,Annual,136681202,1.2,Elect Director James L. Goodfellow,DIRECTOR,For,For,CTC/A CN,CANADIAN TIRE CORP-CLASS A,CA
